Gear,Section,Subsample_ID,Species,Abundance
SE,6,SE6_1,GAMAFF,1
EL,3,EL3_1,HIOTER,1
EL,4,EL4_2,HIOTER,4
EL,5,EL5_1,HIOTER,1
EL,4,EL4_1,HYBAMB,5
EL,10,EL10_1,HYBAMB,1
FN,10,FN10_1,HYBAMB,7
SE,5,SE5_2,HYBAMB,6
SE,7,SE7_1,HYBAMB,6
SE,8,SE8_1,HYBAMB,1
SE,9,SE9_1,HYBAMB,1
SE,10,SE10_2,HYBAMB,4
EL,1,EL1_1,HYBNUC,2
EL,9,EL9_2,HYBNUC,1
FN,1,FN1_1,HYBNUC,22
FN,10,FN10_1,HYBNUC,2
SE,1,SE1_1,HYBNUC,15
SE,2,SE2_2,HYBNUC,15
SE,3,SE3_1,HYBNUC,7
SE,7,SE7_2,HYBNUC,440
SE,9,SE9_2,HYBNUC,18
SE,10,SE10_2,HYBNUC,4
EL,1,EL1_2,HYPNIG,2
EL,2,EL2_2,HYPNIG,2
EL,3,EL3_1,HYPNIG,1
EL,3,EL3_2,HYPNIG,1
EL,5,EL5_1,HYPNIG,1
EL,5,EL5_2,HYPNIG,1
EL,8,EL8_1,HYPNIG,1
EL,9,EL9_2,HYPNIG,5
EL,10,EL10_1,HYPNIG,3
FN,10,FN10_1,HYPNIG,2
SE,2,SE2_2,HYPNIG,1
SE,9,SE9_2,HYPNIG,1
SE,10,SE10_1,HYPNIG,1
TR,2,TN2_1,HYPNIG,2
TR,4,TN4_1,HYPNIG,1
TR,9,TN9_1,HYPNIG,3
EL,1,EL1_1,ICTBUB,1
EL,1,EL1_2,ICTBUB,1
EL,3,EL3_2,ICTBUB,2
EL,4,EL4_1,ICTBUB,9
EL,4,EL4_2,ICTBUB,5
EL,5,EL5_1,ICTBUB,2
EL,6,EL6_1,ICTBUB,1
EL,7,EL7_1,ICTBUB,1
EL,8,EL8_2,ICTBUB,1
EL,9,EL9_1,ICTBUB,2
FN,1,FN1_1,ICTBUB,1
FN,10,FN10_1,ICTBUB,1
EL,7,EL7_1,ICTCYP,1
EL,3,EL3_2,ICTNIG,1
EL,4,EL4_1,ICTNIG,3
EL,4,EL4_2,ICTNIG,1
EL,6,EL6_1,ICTNIG,1
EL,9,EL9_1,ICTNIG,1
EL,6,EL6_1,ICTPUN,1
EL,9,EL9_1,ICTPUN,1
EL,1,EL1_1,LABSIC,1
EL,7,EL7_2,LABSIC,1
FN,10,FN10_1,LABSIC,1
SE,1,SE1_2,LABSIC,24
SE,2,SE2_1,LABSIC,13
SE,2,SE2_2,LABSIC,2
SE,3,SE3_1,LABSIC,27
SE,5,SE5_2,LABSIC,23
SE,7,SE7_1,LABSIC,4
SE,7,SE7_2,LABSIC,4
SE,8,SE8_2,LABSIC,14
SE,9,SE9_1,LABSIC,12
SE,9,SE9_2,LABSIC,2
SE,10,SE10_1,LABSIC,11
SE,10,SE10_2,LABSIC,2
FN,7,FN7_1,LEPGUL,1
EL,4,EL4_1,LEPMAC,2
FN,1,FN1_1,LEPMAC,6
SE,7,SE7_2,LEPMAC,1
EL,1,EL1_1,LEPMEG,2
EL,1,EL1_2,LEPMEG,1
EL,3,EL3_2,LEPMEG,1
EL,7,EL7_2,LEPMEG,4
EL,8,EL8_2,LEPMEG,3
EL,9,EL9_1,LEPMEG,2
EL,9,EL9_2,LEPMEG,1
SE,9,SE9_1,LEPMEG,2
SE,10,SE10_1,LEPMEG,1
TR,7,TN7_1,LEPMEG,1
EL,1,EL1_1,LEPMIC,1
SE,7,SE7_2,LEPMIC,3
FN,1,FN1_1,LEPMIN,1
EL,4,EL4_1,LEPOCU,1
EL,10,EL10_1,LEPOCU,1
FN,1,FN1_1,LEPOCU,3
FN,10,FN10_1,LEPOCU,5
TN,7,TN7_1,LEPOSS,1
EL,1,EL1_1,LEPPLA,1
FN,1,FN1_1,LEPPLA,1
SE,5,SE5_2,LUXCHR,1
SE,1,SE1_1,LUXZON,4
SE,2,SE2_2,LUXZON,9
SE,7,SE7_1,LUXZON,6
SE,8,SE8_1,LUXZON,1
SE,10,SE10_2,LUXZON,1
FN,10,FN10_1,MICDOL,1
EL,1,EL1_1,MICPUN,1
EL,1,EL1_2,MICPUN,1
EL,2,EL2_1,MICPUN,1
EL,3,EL3_2,MICPUN,1
EL,6,EL6_1,MICPUN,1
EL,7,EL7_1,MICPUN,1
EL,7,EL7_2,MICPUN,1
EL,9,EL9_1,MICPUN,1
EL,9,EL9_2,MICPUN,1
FN,1,FN1_1,MICPUN,1
FN,7,FN7_1,MICPUN,1
FN,9,FN9_1,MICPUN,1
FN,10,FN10_1,MICPUN,7
SE,2,SE2_1,MICPUN,3
SE,9,SE9_1,MICPUN,1
EL,4,EL4_1,MICSAL,1
EL,9,EL9_2,MICSAL,2
FN,1,FN1_1,MICSAL,4
FN,10,FN10_1,MICSAL,1
SE,7,SE7_2,MICSAL,7
SE,9,SE9_2,MICSAL,1
FN,1,FN1_1,MORCHR,1
EL,4,EL4_1,MOXANI,1
EL,4,EL4_2,MOXANI,1
TN,1,TN1_1,MOXANI,1
EL,2,EL2_1,MOXCAR,1
EL,5,EL5_2,MOXCAR,1
EL,6,EL6_1,MOXCAR,1
EL,3,EL3_1,MOXDUQ,3
EL,3,EL3_2,MOXDUQ,2
EL,5,EL5_2,MOXDUQ,2
EL,6,EL6_2,MOXDUQ,3
EL,9,EL9_2,MOXDUQ,1
EL,10,EL10_2,MOXDUQ,1
FN,1,FN1_1,MOXDUQ,1
SE,7,SE7_2,MOXDUQ,1
SE,9,SE9_1,MOXDUQ,2
EL,1,EL1_1,MOXERY,1
EL,1,EL1_2,MOXERY,1
EL,3,EL3_2,MOXERY,3
EL,4,EL4_1,MOXERY,1
EL,4,EL4_2,MOXERY,5
EL,5,EL5_2,MOXERY,2
EL,6,EL6_1,MOXERY,1
EL,7,EL7_1,MOXERY,1
EL,8,EL8_1,MOXERY,1
EL,8,EL8_2,MOXERY,1
EL,9,EL9_1,MOXERY,1
EL,9,EL9_2,MOXERY,1
EL,10,EL10_1,MOXERY,2
SE,1,SE1_2,MOXERY,1
SE,2,SE2_2,MOXERY,1
SE,5,SE5_2,MOXERY,2
SE,7,SE7_2,MOXERY,5
SE,8,SE8_1,MOXERY,1
SE,9,SE9_1,MOXERY,1
SE,10,SE10_1,MOXERY,3
TR,8,TN8_1,MOXERY,1
EL,2,EL2_2,MOXPIS,4
EL,3,EL3_1,MOXPIS,1
EL,5,EL5_2,MOXPIS,1
EL,6,EL6_1,MOXPIS,1
EL,6,EL6_2,MOXPIS,5
EL,8,EL8_2,MOXPIS,3
EL,10,EL10_1,MOXPIS,1
EL,10,EL10_2,MOXPIS,1
TR,6,TN6_1,MOXPIS,1
TR,9,TN9_1,MOXPIS,1
HN,1,HN1_1,NO_NO_,1
HN,4,HN4_1,NO_NO_,1
HN,10,HN10_1,NO_NO_,1
SE,4,SE4_1,NO_NO_,1
TN,4,TN4_1,NO_NO_,1
TN,9,TN9_1,NO_NO_,1
EL,1,EL1_1,NOTATH,2
EL,6,EL6_1,NOTATH,3
EL,7,EL7_2,NOTATH,1
EL,8,EL8_1,NOTATH,2
FN,10,FN10_1,NOTATH,7
SE,1,SE1_1,NOTATH,10
SE,2,SE2_1,NOTATH,7
SE,5,SE5_1,NOTATH,4
SE,5,SE5_2,NOTATH,2
SE,7,SE7_1,NOTATH,1
SE,7,SE7_2,NOTATH,1
SE,8,SE8_1,NOTATH,3
SE,8,SE8_2,NOTATH,5
SE,10,SE10_1,NOTATH,1
SE,10,SE10_2,NOTATH,2
EL,7,EL7_2,NOTBOO,3
EL,10,EL10_1,NOTBOO,1
FN,9,FN9_1,NOTBOO,1
SE,1,SE1_1,NOTBOO,3
SE,3,SE3_1,NOTBOO,3
SE,3,SE3_2,NOTBOO,1
SE,5,SE5_1,NOTBOO,8
SE,7,SE7_1,NOTBOO,1
SE,8,SE8_2,NOTBOO,1
SE,2,SE2_2,NOTGRE,10
TR,9,TN9_1,NOTGRE,1
SE,4,SE4_1,NOTMAY,1
SE,4,SE4_2,NOTMAY,2
SE,6,SE6_2,NOTMAY,1
FN,10,FN10_1,NOTSAB,2
EL,4,EL4_1,NOTTEX,1
FN,9,FN9_1,NOTTEX,1
SE,3,SE3_2,NOTTEX,1
SE,5,SE5_2,NOTTEX,13
FN,1,FN1_1,NOTVOL,1
FN,9,FN9_1,NOTVOL,12
FN,10,FN10_1,NOTVOL,54
SE,1,SE1_1,NOTVOL,1
SE,5,SE5_2,NOTVOL,1
EL,6,EL6_1,PERCAP,1
EL,9,EL9_2,PERCAP,1
TR,5,TN5_1,PERCAP,1
SE,3,SE3_2,PEREVI,1
SE,7,SE7_1,PEREVI,1
SE,8,SE8_1,PEREVI,8
TR,1,TN1_1,PEREVI,1
TR,4,TN4_1,PEREVI,1
TR,5,TN5_1,PEREVI,3
TR,6,TN6_1,PEREVI,2
TR,8,TN8_1,PEREVI,3
TR,9,TN9_1,PEREVI,3
TR,10,TN10_1,PEREVI,7
TR,1,TN1_1,PERURA,4
TR,3,TN3_1,PERURA,1
TR,5,TN5_1,PERURA,1
TR,6,TN6_1,PERURA,1
TR,10,TN10_1,PERURA,8
SE,5,SE5_2,PERVIG,4
EL,4,EL4_1,PIMNOT,4
EL,7,EL7_2,PIMNOT,1
FN,1,FN1_1,PIMNOT,1
FN,7,FN7_1,PIMNOT,7
FN,9,FN9_1,PIMNOT,14
FN,10,FN10_1,PIMNOT,14
SE,5,SE5_2,PIMNOT,12
SE,7,SE7_1,PIMNOT,2
SE,8,SE8_1,PIMNOT,3
SE,10,SE10_2,PIMNOT,9
FN,7,FN7_1,PIMTEN,1
FN,10,FN10_1,PIMTEN,5
FN,7,FN7_1,PIMVIG,3
FN,10,FN10_1,PIMVIG,4
SE,7,SE7_2,PIMVIG,3
FN,1,FN1_1,POMANN,1
FN,7,FN7_1,POMANN,3
FN,1,FN1_1,POMNIG,2
FN,7,FN7_1,POMNIG,2
SE,7,SE7_2,POMNIG,1
HN,7,HN7_1,PYLOLI,2
EL,5,EL5_2,SANVIT,1
